	Tue Dec  5 18:42 2017 Time and Allocation Profiling Report  (Final)

	   profilingTest +RTS -hc -p -RTS

	total time  =      833.48 secs   (833479 ticks @ 1000 us, 1 processor)
	total alloc = 1,818,976,847,608 bytes  (excludes profiling overheads)

COST CENTRE                  MODULE    SRC                             %time %alloc

calculateZ                   NeuralNet NeuralNet.hs:(210,1)-(211,87)    28.6   15.5
derivateNeuronWeightsandBias NeuralNet NeuralNet.hs:(161,1)-(162,144)   22.7   27.3
averageHelper                NeuralNet NeuralNet.hs:(262,1)-(263,73)    19.3   17.0
separateFronts               NeuralNet NeuralNet.hs:215:1-40            18.9   32.9
derivateNeuronActivation     NeuralNet NeuralNet.hs:(156,1)-(157,141)    6.8    3.9
updateAttribute              NeuralNet NeuralNet.hs:102:1-81             1.2    0.4


                                                                                                                 individual      inherited
COST CENTRE                            MODULE                  SRC                            no.     entries  %time %alloc   %time %alloc

     blankList                         NeuralNet               NeuralNet.hs:(277,1)-(278,34)  305         21    0.0    0.0     0.0    0.0
  readListPrec                         NeuralNet               NeuralNet.hs:27:54-57          315          0    0.0    0.0     0.1    0.1
   readPrec                            NeuralNet               NeuralNet.hs:27:54-57          318          0    0.0    0.0     0.1    0.1
    readPrec                           NeuralNet               NeuralNet.hs:23:82-85          320          0    0.0    0.0     0.1    0.1
     readListPrec                      NeuralNet               NeuralNet.hs:17:62-65          324          0    0.0    0.0     0.1    0.1
      readPrec                         NeuralNet               NeuralNet.hs:17:62-65          327          0    0.0    0.0     0.1    0.1
       readPrec                        NeuralNet               NeuralNet.hs:8:87-90           329          0    0.1    0.1     0.1    0.1
  showList                             NeuralNet               NeuralNet.hs:27:48-51          295          0    0.0    0.0     0.0    0.1
   showsPrec                           NeuralNet               NeuralNet.hs:27:48-51          335          3    0.0    0.0     0.0    0.1
    showsPrec                          NeuralNet               NeuralNet.hs:23:76-79          337          3    0.0    0.0     0.0    0.0
    showList                           NeuralNet               NeuralNet.hs:17:56-59          340          0    0.0    0.0     0.0    0.1
     showsPrec                         NeuralNet               NeuralNet.hs:17:56-59          408        266    0.0    0.1     0.0    0.1
      showsPrec                        NeuralNet               NeuralNet.hs:8:81-84           409        266    0.0    0.0     0.0    0.0
